track,artist,album,times_played
Always,SOB X RBE,GANGIN,2
Always Shine,Robert Glasper,Black Radio,1
Alyssa Interlude,Vince Staples,Big Fish Theory,1
Am I Wrong,Anderson .Paak,Am I Wrong (feat. ScHoolboy Q) - Single,1
Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,Malibu,20
Ambasel,Hailu Mergia,Hailu Mergia & His Classical Instrument: Shemonmuanaye,4
America's Most Blunted,Madvillain,Madvillainy,6
American Dream,Miami Horror,All Possible Futures,1
American Teen,Khalid,American Teen,1
AMERIKKKAN IDOL,Joey Bada$$,ALL-AMERIKKKAN BADA$$,2
Amor Verde,Chicano Batman,Magma,3
Amor Verde,Chicano Batman,Cycles of Existential Rhyme,3
Amphetamine,Smino,blkswn,2
Amrew Demkew,Hailu Mergia,Hailu Mergia & His Classical Instrument: Shemonmuanaye,1
An Encyclopedia,Milo,So The Flies Don't Come,1
An Intention,Kaitlyn Aurelia Smith,An Intention,1
Anchin Alay Alegn,Hailu Mergia,Hailu Mergia & His Classical Instrument: Shemonmuanaye,1
Ancient Aliens,Lemon Demon,Spirit Phone,1
Ancient Water,Future Islands,The Far Field,12
And He Will Not Come Again,Galt MacDermot,Up From The Basement - Unreleased Tracks - Volumes 1 & 2,1
And Her Tears Flowed Like Wine,Stan Kenton & His Orchestra,Retrospective - The Capitol Years,1
"And That, Too",BADBADNOTGOOD,IV,2
Ando Meio Desligado,Os Mutantes,"""A Divina Comédia Ou Ando Meio Desligado""",2
Angel,Shaggy,The Boombastic Collection - Best of Shaggy,1
Angel Child,Chicano Batman,Angel Child,8
Angel Child,Chicano Batman,Freedom Is Free,8
Angel In The Snow,Elliott Smith,New Moon,1
Angeles,Elliott Smith,Either/Or,2
Angels,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),1
Angels (feat. Saba),Chance the Rapper,Angels (feat. Saba),46
Angels (feat. Saba),Chance the Rapper,Coloring Book,46
Animal,Neon Trees,Habits,1
Anne,John Frusciante,Curtains,2
Annie,Neon Indian,Vega Intl. Night School,1
Another (Demo) One #1,Mac DeMarco,Another (Demo) One,2
Another (Demo) One #2,Mac DeMarco,Another (Demo) One,1
Another Green World - Remastered 2004,Brian Eno,Another Green World,1
Another One,Mac DeMarco,Another One,13
"Another Rise, Another Fall",Miami Horror,All Possible Futures,10
Another Sad Love Song,Khalid,American Teen,2
Another Time,NxWorries,Yes Lawd!,3
Another Weekend,Ariel Pink,Dedicated To Bobby Jameson,29
Anthrtime (Intro),NxWorries,Link Up & Suede,1
Anti,SOB X RBE,SOB X RBE,1
Anti Social,SOB X RBE,GANGIN,3
Anti Social,SOB X RBE,Anti Social,3
anticipation,eevee,ep highlights,1
Anunciação - Remastered 2006,Caetano Veloso,Caetano Veloso,3
Any Day,The Sea and Cake,Any Day,1
Anybody (feat. Nicki Minaj),Young Thug,Hear No Evil,1
Anything,SZA,Ctrl,2
Aphasia,Pinegrove,Cardinal,10
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,1
Apparently,J. Cole,2014 Forest Hills Drive,1
Apple Juice,Stan Forebee,Apple Juice,15
Appletree,Erykah Badu,Baduizm,2
Aqua,Juan Rios,Natura,2
Aquele Abraço,Gilberto Gil,Gilberto Gil (1969),1
Aquemini,Outkast,Aquemini,3
Arabic Gum,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",2
Area C,Chicano Batman,Freedom Is Free,5
Aretha,Pete Rock,Lost Sessions,1
Argonaut And Magneto,kiss the anus of a black cat,Hewers of Wood and Drawers of Water,1
Argumento,Paulinho Da Viola,Meus Momentos: Paulinho Da Viola,2
Arizona,snny,Learning to Swim,2
Arizona,snny,Learning To Swim,2
Arizona (feat. AUGUST 08),Rich Brian,Amen,18
Army of Me,Björk,Post,1
Arrow Root,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",1
Artificial,EARTHGANG,Robots,1
As I Love You,Shirley Bassey,The Collection,2
"As We Go Up, We Go Down",Guided By Voices,Alien Lanes,1
As You Are,The Weeknd,Beauty Behind The Madness,1
As Your Father I Expressly Forbid It,Lemon Demon,Spirit Phone,1
Asas,Domenico Lancellotti,Asas,1
Ascension,Mac Miller,GO:OD AM,5
Ascension,John Frusciante,Curtains,5
Ask Courtney,Flatbush Zombies,Vacation In Hell,1
Aspiration,Philanthrope,Chillhop Essentials Winter 2017,2
asplenium,Dawl,Patio,2
Astronaut,Quasimoto,Yessir Whatever,1
At All,KAYTRANADA,At All / Hilarity Duff EP,1
At Home At Work At Play,Sparks,Propaganda,1
At Ron's Bris,Mac DeMarco,Another (Demo) One,1
ATLiens,Outkast,ATLiens,28
ATM,J. Cole,KOD,13
Audiopium,Nyck Caution,Nyck @ Knight,5
Auditorium,Guided By Voices,Alien Lanes,1
Aux Cord,Big K.R.I.T.,4eva Is A Mighty Long Time,2
Ave Gengis Khan,Os Mutantes,"""Os Mutantes""",1
Ave-Maria - Remastered 2006,Caetano Veloso,Caetano Veloso,4
Avenue,H.E.R.,H.E.R.,5
Awakening,Chet Porter,Awakening,1
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",1
Ayonha,Hamid Al Shaeri,Tape 19.11 / Ayonha,17
azalea,eevee,ep unexpected,4
B.B.W.W x Fake Show,Tory Lanez,MEMORIES DON'T DIE,1
B.I.D,Tory Lanez,MEMORIES DON'T DIE,2
B^),Mac DeMarco,Another (Demo) One,1
Baba,Aminé,Baba,2
babe,eevee,beat tape 05,24
Babel - Scene,Logic,The Incredible True Story,1
Baby,Donnie & Joe Emerson,Dreamin' Wild,8
Baby,Os Mutantes,"""Os Mutantes""",8
Baby,Gal Costa,Gal Costa,8
Baby,Ariel Pink,Mature Themes,8
Baby Blue,King Krule,6 Feet Beneath The Moon,2
Baby Boy,Childish Gambino,"""Awaken, My Love!""",1
Baby Good Night,GD&TOP,GD & TOP,1
Baby I'm a Star,Prince,Purple Rain,1
Baby I'm Bleeding,JPEGMAFIA,Baby I'm Bleeding,4
Baby I'm Bleeding,JPEGMAFIA,Veteran,4
Baby Luv,Nilüfer Yanya,Baby Luv,1
Baby You're Out,Mac DeMarco,This Old Dog,16
Babygirl,Ketchup Lube,Bimmers & Weiners,2
BABYLON (feat. Chronixx),Joey Bada$$,ALL-AMERIKKKAN BADA$$,1
Babylon (feat. Kendrick Lamar),SZA,Z,1
Back Again,Ookay,Cocoon,2
Back in Bahia,Gilberto Gil,Expresso 2222,1
Back in Your Head,The Regrettes,Back in Your Head,1
Back That Azz Up,JUVENILE,400 Degreez,5
Back To Back,Drake,Back To Back,11
Back With A Banger,Wiley,Godfather,1
Backpackers,Childish Gambino,Camp,1
Backseat (feat. Carly Rae Jepsen),Charli XCX,Pop 2,1
Backseat Freestyle,Kendrick Lamar,"good kid, m.A.A.d city",1
Backwoods,leaf beach,Backwoods,2
Bad and Boujee (feat. Lil Uzi Vert),Migos,Culture,3
Bad At Love,Halsey,hopeless fountain kingdom,1
Bad Company (feat. BlocBoy JB),A$AP Rocky,Bad Company (feat. BlocBoy JB),1
Bad Day,Daniel Powter,Daniel Powter,1
Bad Girl,USHER,Confessions (Expanded Edition),1
Bad Girls,M.I.A.,Matangi,1
Bada Bing,DANGERDOOM,The Mouse and The Mask,1
BagBak,Vince Staples,Big Fish Theory,32
Balada Do Louco,Os Mutantes,20 Grandes Sucessos De Os Mutantes,1
Balance,Nate Dae,California Psa,4
Balance (feat. dvsn & PnB Rock),Roy Woods,Say Less,1
balcony view,Leavv,essence,11
Baldwin Park,Sonder,Into,8
Ballad Of Big Nothing,Elliott Smith,Either/Or,2
Bamako,Songhoy Blues,Résistance,1
Banana Clip,Miguel,War & Leisure,31
Banded Up (feat. XXXTENTACION),RONNY J,Banded Up (feat. XXXTENTACION),1
Bank Account,21 Savage,Issa Album,9
Bap U,Party Favor,Bap U,1
Barbie & Ken,Jesse®,&,5
Barbie Tingz,Nicki Minaj,Barbie Tingz,1
Barely Legal,The Strokes,Is This It,1
Barricade,Interpol,Interpol,1
Barrunto,Willie Colón,The Original Gangster,1
Bart Simpson,Princess Nokia,1992 Deluxe,4
Bartier Cardi (feat. 21 Savage),Cardi B,Bartier Cardi (feat. 21 Savage),30
Bartier Cardi (feat. 21 Savage),Cardi B,Invasion of Privacy,30
baseball,Hippo Campus,warm glow,7
Basket Case,DANGERDOOM,The Mouse and The Mask,5
Bat Macumba,Os Mutantes,"""Os Mutantes""",1
Battle Scars (with Guy Sebastian),Lupe Fiasco,"Food & Liquor II: The Great American Rap Album, Pt. 1",1
Baudelaire,Serge Gainsbourg,N°4,1
Be Careful,Cardi B,Invasion of Privacy,2
be right back,Ezri,be right back,7
Be Yourself,Frank Ocean,Blonde,3
Beach Baby,Bon Iver,Blood Bank,2
Beach Boy,Aminé,Good For You,6
Beat the Devil's Tattoo,Black Rebel Motorcycle Club,Beat the Devil's Tattoo,1
beau,eevee,beat tape 08,1
Beautiful Day (Live),Spafford,"Live, Vol. 1",2
Because - Remastered 2009,The Beatles,Abbey Road,1
Becoming,Milky Chance,Sadnecessary,1
Bed Peace,Jhené Aiko,Sail Out,1
Beef Rap,MF DOOM,MM...FOOD,1
Beep Beep,FXXXXY,Flawed Up Shawty,1
Beggars Might Ride,Destroyer,Streethawk: A Seduction,1
Begin (feat. Wales),Shallou,Begin (feat. Wales),2
behindme,Knxwledge,Hud Dreems,3
belas,eevee,ep seeds,2
Believe,Amen Dunes,Freedom,1
Believer Ma Lover,Witch,Kuomboka,1
Belly of the Beast,Joey Bada$$,B4.Da.$$,1
Belong to You (feat. 6LACK),Sabrina Claudio,About Time,3
Bennington (2007),John Maus,A Collection of Rarities and Previously Unreleased Material,1
Benzoin Gum,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",1
Bergamont,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",2
Bergamot,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",1
Berlin Got Blurry,Parquet Courts,Human Performance,4
Bermondsey Bosom (Left),King Krule,The OOZ,5
Bésame Mucho,Consuelo Velázquez,Amor,5
Best Friend,Rex Orange County,Best Friend,4
Best Life (feat. Chance The Rapper),Cardi B,Invasion of Privacy,2
Best One,NxWorries,Yes Lawd!,15
Best One - Remix,NxWorries,Yes Lawd!,1
Best One (Remix),NxWorries,Yes Lawd! Remixes,2
Best Part (feat. H.E.R.),Daniel Caesar,Freudian,19
Best Part (feat. H.E.R.),Daniel Caesar,H.E.R.,19
Best to You,Blood Orange,Freetown Sound,1
Best View,bLAck pARty,Mango,20
Betray My Heart,D'Angelo,Black Messiah,1
Betrayed,Lil Xan,Betrayed,3
Better,Kelela,Take Me Apart,2
Between the Bars,Elliott Smith,Either/Or,2
Beyond Love,Beach House,Depression Cherry,2
Bickenhead,Cardi B,Invasion of Privacy,22
Big Bad Soca,Bunji Garlin,Turn Up,1
Big Bank (feat. T.I.),Big K.R.I.T.,4eva Is A Mighty Long Time,25
Big Chief Chinese Restaurant,Guided By Voices,Alien Lanes,1
Big Dusty,Joey Bada$$,B4.Da.$$,2
Big Fish,Vince Staples,Big Fish Theory,39
Big K.R.I.T.,Big K.R.I.T.,4eva Is A Mighty Long Time,2
Big Shot (with Travis Scott),Kendrick Lamar,Black Panther The Album Music From And Inspired By,10
Big Shrimp,Flatbush Zombies,Vacation In Hell,1
Big Time,Vince Staples,Prima Donna,1
Biking,Frank Ocean,Biking,33
Bilbao,Chicano Batman,Cycles of Existential Rhyme,2
Binaural Drops of Rain,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Gentle Rain,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Heavy Rain,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Light to Heavy Rain,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Puddles,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Rain and Birds,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Rain and Subtle Static,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Rain Clouds,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Rain Drips,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Rain Showers,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Rain Statics,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Rainy Showers,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Slow Raindrops,Rain Sound Studio,35 Pure Calming Rains,1
Binaural Storm Sounds,Rain Sound Studio,35 Pure Calming Rains,1
Bird Rain and Rumble,Rain Sound Studio,35 Pure Calming Rains,2
Bird Rain and Rumble,Rain Sound Studio,2018Rain Hammers Down,2
Bird Rain Drone,Rain Sound Studio,35 Pure Calming Rains,1
Birds n Bars,Wiley,Godfather,2
Birthday - Remastered 2009,The Beatles,The Beatles,1
Biscuit Town,King Krule,The OOZ,5
Bistro,Madvillain,Madvillainy,2
Bitch Better Have My Money,Rihanna,Bitch Better Have My Money,12
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"good kid, m.A.A.d city",1
Bitchin' Camaro,The Dead Milkmen,Big Lizard In My Back Yard,1
Black,G-DRAGON,COUP D'ETAT,1
Black (feat. A$AP Ferg),Buddy,Black (feat. A$AP Ferg),1
Black & Ugly,Rapsody,Laila’s Wisdom,1
Black Beatles,Rae Sremmurd,SremmLife 2,5
Black Ego,Digable Planets,Blowout Comb,1
Black Focus,Yussef Kamaal,Black Focus,6
Black History Month,Death From Above 1979,"You're A Woman, I'm A Machine",1
Black Hole Sun,Soundgarden,Superunknown,1
Black Lipstick,Chicano Batman,Black Lipstick,6
Black Panther,Kendrick Lamar,Black Panther The Album Music From And Inspired By,25
Black Skinhead,Kanye West,Yeezus,5
Black Snake Root,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",2
Black Snow,Oneohtrix Point Never,Black Snow,1
"Black Tux, White Collar",A$AP Rocky,TESTING,1
Black's Theme,Nicholas Britell,Moonlight (Original Motion Picture Soundtrack),1
Blackbird - Remastered 2009,The Beatles,The Beatles,4
Blacks & Browns,YG,Still Brazy,1
Blame,Thutmose,Blame,1
Blame It on the Boogie,The Jacksons,Destiny,8
Blank Face,ScHoolboy Q,Blank Face LP,1
BLEACH,BROCKHAMPTON,SATURATION III,6
Bleed It Out,Kasbo,Bleed It Out,3
Blessed,Daniel Caesar,Freudian,7
Blind Man,Xavier Omär,Blind Man,1
Blinds,Aminé,Good For You,45
Blissing Me,Björk,Blissing Me,1
blkjuptr,Smino,blkjuptr,3
Bloo,Zack Villere,Little World,1
Blood Bank,Bon Iver,Blood Bank,2
Blood on Me,Sampha,Process,3
Blood on Our Hands,Death From Above 1979,"You're A Woman, I'm A Machine",1
Blood Root,MF DOOM,"Metal Fingers Presents: Special Herbs, The Box Set Vol. 0 - 9",2
Blood Under My Belt,The Drums,Abysmal Thoughts,17
BLOOD.,Kendrick Lamar,DAMN. COLLECTORS EDITION.,5
BLOOD.,Kendrick Lamar,DAMN.,5
Bloody Waters (with Anderson .Paak & James Blake),Ab-Soul,Black Panther The Album Music From And Inspired By,22
Bloom,bLAck pARty,Mango,1
Blue Boy,Mac DeMarco,Salad Days,17
Blue Flower/Blue Flame,Destroyer,Trouble in Dreams,1
Blue Flowers,Dr. Octagon,Dr. Octagonecologyst,2
Blue Light,Kelela,Take Me Apart,1
Blue Suede,Vince Staples,Hell Can Wait,1
Bluebird,Beach House,Depression Cherry,2
Bluff,Kelela,Take Me Apart,1
Blurred Lines,Robin Thicke,Blurred Lines,1
Boat Cruise,Thundercat,The Golden Age of Apocalypse,2
Bodak Yellow,Cardi B,Bodak Yellow,19
Bodak Yellow,Cardi B,Invasion of Privacy,19
bodies[TOTW],Knxwledge,Hud Dreems,2
Body Language - Intro,Kali Uchis,Isolation,3
Body Movin',Beastie Boys,Hello Nasty,2
Bodysnatchers,Radiohead,In Rainbows,1
"Bold Soul Sister, Bold Soul Brother - USDEA0400901",The Black On White Affair,Wheedle's Groove - Seattle's Finest in Funk & Soul 1965-75,1
Bollywood Medley 5,Zack Knight,Bollywood Medley 5,1
Bom Diggy,Zack Knight,Bom Diggy - Single,1
Bone,King Gizzard & The Lizard Wizard,Paper Mâché Dream Balloon,1
Bones,Radiohead,The Bends,1
Bonfire,Childish Gambino,Camp,6
Bonfire,DJ Koze,Knock Knock,6
Bonnie (Rhythm & Melody),Turnover,Good Nature,1
Bonnie And Clyde,Brigitte Bardot,Intégrale,1
Boo'd Up,Ella Mai,READY,1
Boofiness,1010benja,Boofiness,1
BOOGIE,BROCKHAMPTON,SATURATION III,22
Boogie Wonderland,"Earth, Wind & Fire",I Am,1
Book Of Rules,The Heptones,Night Food,1
"Bool, Balm & Bollective",YG,Still Brazy,1
BOOM - Black Caviar Remix,Tiësto,BOOM,1
Boom (X3),Injury Reserve,Drive It Like It's Stolen,1
Boom Boom Pow,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),1
Boombastic,Shaggy,Boombastic,1
